###MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
57229.52539,6.411,0.002,9900549,15525,o,0,2060.42,14.48012,-2.98548,1670.99,6271.6,3.59,3.36,-62.3,-0.463,19.15,20.75,02a57229o0377o
57229.56158,6.645,0.001,7977225,9060,o,0,9056.26,14.48482,-2.9862,1690.91,6276.91,3.64,3.47,-59,-0.45,19.17,20.82,02a57229o0427o
57229.57117,8.778,0.002,1118653,2308,o,0,565.61,14.48606,-2.98639,3155.2,4825.39,3.55,3.34,-70.6,-0.479,19.22,20.85,02a57229o0440o
57229.60447,7.042,0.003,5533709,18916,o,0,143.4,14.49034,-2.98705,3170.49,4826.01,3.54,3.33,-64.8,-0.459,19.3,20.97,02a57229o0475o
57246.49653,7.165,0.001,4945369,7032,c,0,3893.32,15.89799,-3.7322,4456.51,7700.92,3.82,3.56,-63.5,-0.415,19.43,21.24,02a57246o0345c
57246.52373,7.239,0.001,4617888,5441,c,0,15850.27,15.8985,-3.73407,4457.49,7710.47,3.82,3.54,-66.9,-0.414,19.5,21.35,02a57246o0380c
57246.5469,7.039,0.001,5549106,5569,c,0,18388.97,15.89892,-3.73566,5903,6265.88,3.76,3.55,-76.4,-0.404,19.53,21.43,02a57246o0411c
57246.56882,7.047,0.001,5510831,6442,c,0,11753.07,15.89931,-3.73717,5900.73,6275.27,3.75,3.55,-75.4,-0.406,19.57,21.51,02a57246o0441c
57297.38982,5.281,0.002,28030393,54314,o,0,1392.66,9.03702,-9.17525,7905.69,8647.81,4.45,3.46,-83.6,-0.459,18.77,20.12,02a57297o0136o
57297.41535,5.372,0.002,25777956,60043,o,0,1064.32,9.03082,-9.17766,7887.02,8660.22,4.53,3.51,-84,-0.472,18.79,20.16,02a57297o0174o
57297.43915,6.036,0.001,13981640,20161,o,0,6510.01,9.02504,-9.17991,1253.16,3384.23,4.55,3.53,-36,-0.47,18.81,20.15,02a57297o0209o
57297.47261,6.088,0.001,13332115,18411,o,0,10812.66,9.01691,-9.18305,1265.17,3375.15,4.55,3.52,-36.7,-0.476,18.78,20.1,02a57297o0259o
57298.38299,5.613,0.002,20648050,38340,o,0,866.16,8.80598,-9.26764,7474.2,8827.47,4.35,3.65,-76.9,-0.48,18.92,20.42,02a57298o0279o
57298.411,5.584,0.002,21199878,39275,o,0,1985.06,8.79919,-9.27021,7455.41,8839.32,4.35,3.46,-78.3,-0.465,18.93,20.41,02a57298o0321o
57298.43356,6.089,0.002,13312224,28713,o,0,3366.72,8.79372,-9.27228,1698.83,3211.94,4.44,3.48,-32.4,-0.468,18.95,20.42,02a57298o0355o
57298.4466,6.112,0.002,13032090,26101,o,0,3449.58,8.79055,-9.27347,1699.19,3207.58,4.46,3.5,-32.7,-0.465,18.93,20.4,02a57298o0374o
57304.37435,7.443,0.127,3827244,484489,c,0,0,7.43476,-9.76051,4835.77,9777.71,4.4,3.78,-68.2,-0.428,19.46,21.37,02a57304o0262c
57304.39883,7.21,0.053,4743762,252214,c,0,0,7.42904,-9.76228,4816.66,9787.77,4.37,3.74,-69.6,-0.426,19.47,21.4,02a57304o0296c
57304.40371,4.425,0.039,61642307,2434732,c,0,0,7.4279,-9.76264,4818.48,96.09,4.87,3.83,-2.3,-0.511,19.44,21.49,02a57304o0303c
57304.42996,0,0,0,0,c,0,-2,7.42177,-9.76453,4295.17,2232.01,4.39,3.72,-11.3,-0.433,19.49,21.46,02a57304o0336c
57304.44607,-5.72,0.06,-18698376,1123311,c,0,0,7.41802,-9.76568,4337.77,2267,4.42,3.69,-12.7,-0.437,19.5,21.49,02a57304o0358c
57308.36661,6,0.01,14450846,137714,c,0,0,6.56447,-10.02071,3163.25,10302.53,4.99,4.13,-61.9,-0.385,19.35,21.35,02a57308o0260c
57308.37201,0,0,0,0,c,0,-2,6.56328,-10.02102,3126.68,562.04,5.31,3.98,-13.9,-0.482,19.38,21.35,02a57308o0268c
57308.39458,6.784,0.015,7021913,107230,c,0,0,6.55828,-10.02233,3138.59,10314.46,4.87,4.06,-60.7,-0.385,19.4,21.4,02a57308o0302c
57308.39619,8.751,0.152,1147362,174942,c,0,0,6.55792,-10.02242,7474.54,10012.41,4.58,4.09,-78.9,-0.404,19.38,21.38,02a57308o0304c
57308.42514,-9.013,0.177,-901570,159450,c,0,0,6.55151,-10.02409,6046.1,1778.9,4.91,4.02,-1.1,-0.438,19.42,21.37,02a57308o0341c
57308.44126,-11.144,1.259,-126617,159439,c,0,0,6.54794,-10.02501,6050.29,1773.85,5.15,4.28,-1.4,-0.414,19.35,21.34,02a57308o0365c
57311.37129,7.946,0.171,2406963,411086,c,0,0,5.94517,-10.17727,2009.87,912.45,5.94,4.03,-18.8,-0.482,19.37,21.37,02a57311o0283c
57311.39684,7.783,0.028,2797909,77369,c,0,2.58,5.9398,-10.17845,1990.68,921.16,5.95,4.13,-20.9,-0.471,18.95,20.97,02a57311o0321c
57317.24534,7.823,0.134,2695651,361259,c,0,0,4.8517,-10.38134,9823.73,1318.08,5.18,3.9,28.1,-0.475,18.46,19.54,02a57317o0089c
57317.25954,8.223,0.042,1865571,77735,c,0,0,4.84917,-10.38169,9816.78,1320.03,5.53,4.15,30,-0.457,18.5,19.65,02a57317o0111c
57318.30702,6.51,0.021,9033403,191965,o,0,0,4.67225,-10.40371,972.06,9609.76,5.51,3.55,-59.4,-0.442,18.38,19.53,02a57318o0175o
57318.33154,6.405,0.027,9950689,272440,o,0,0,4.66797,-10.40418,958.65,9616.71,5.46,3.56,-59.7,-0.446,18.39,19.55,02a57318o0213o
57322.41025,-7.05,0.931,-5494822,5117724,o,0,0,4.04016,-10.44814,2495.97,9183.62,4.7,3.63,-62.3,-0.491,17.55,18.04,02a57322o0426o
57322.43712,0,0,0,0,o,0,-2,4.03613,-10.44819,2463.46,9142.1,4.78,3.64,-63.4,-0.522,16.76,17.27,02a57322o0467o
57322.46649,8.546,0.101,1385420,139364,o,0,0,4.03176,-10.44824,1202.7,927.52,7,4.45,-26.6,-0.493,17.54,17.99,02a57322o0512o
57329.32007,7.063,0.067,5428389,361811,o,0,0,3.21197,-10.37637,4129.74,9334.78,4.37,3.36,-71.3,-0.49,18.81,20.46,02a57329o0194o
57329.34645,5.477,0.044,23407394,1018868,o,0,0,3.20916,-10.37575,4131.32,9336.61,4.44,3.48,-71.6,-0.503,18.93,20.77,02a57329o0235o
57333.32278,8.362,0.033,1641737,54860,c,0,0,2.87492,-10.25401,4775.64,9576.09,3.92,3.81,39,-0.391,19.37,21.14,02a57333o0212c
57333.34906,7.92,0.064,2465741,157548,c,0,0,2.87284,-10.25302,4775.83,9580.72,3.79,3.64,31,-0.405,19.38,21.12,02a57333o0250c
57334.4259,8.205,0.029,1897385,54481,c,0,0,2.80031,-10.21026,3622.26,1435.95,5.05,4.22,-19.6,-0.377,19.24,21.14,02a57334o0360c
57334.45715,10.93,0.436,154168,67268,c,0,0,2.79816,-10.20893,3628.94,1438.91,5.23,4.37,-19.1,-0.367,19.08,20.91,02a57334o0405c
57351.34155,7.22,0.141,4698259,660132,o,0,0,2.70558,-9.0591,5240.83,2231.88,4.11,3.8,-11.3,-0.409,18.09,18.76,02a57351o0083o
57351.35065,8.276,0.28,1776734,497315,o,0,0,2.70597,-9.05826,5240.49,2234.07,4.16,3.91,-17.1,-0.402,17.66,18.28,02a57351o0097o
57353.29057,0,0,0,0,o,0,-2,2.81521,-8.87549,4995,2531.6,3.88,3.6,-23,-0.477,18.22,19.06,02a57353o0186o
57353.2976,0,0,0,0,o,0,-2,2.81559,-8.87481,4995.33,2533.97,3.85,3.57,-28.2,-0.481,18.01,18.76,02a57353o0197o
57353.30591,8.328,0,1693336,0,o,0,0,2.81604,-8.87401,5035.52,2580.02,3.95,3.61,-22.6,-0.461,18.39,19.32,02a57353o0210o
57353.31421,0,0,0,0,o,0,-2,2.8165,-8.8732,4992.35,2540.16,3.84,3.48,-22.3,-0.482,18.33,19.19,02a57353o0223o
57354.30078,7.541,0.131,3495523,456715,o,0,0,2.88091,-8.77673,4910.12,2771.36,4.01,3.68,-24.1,-0.455,17.92,18.69,02a57354o0204o
57354.30904,14.072,53.245,8532,454314,o,0,0,2.88142,-8.77591,4908.93,2773.65,3.81,3.53,-26,-0.467,17.54,18.08,02a57354o0217o
57354.31735,-8.973,1.253,-934629,1171243,o,0,0,2.88193,-8.77508,4908.4,2777.05,3.66,3.42,-31.5,-0.471,17.17,17.58,02a57354o0230o
57354.32567,-8.376,0.746,-1620212,1208249,o,0,0,2.88243,-8.77426,4907.43,2779.06,3.77,3.52,-28.5,-0.456,17.31,17.72,02a57354o0243o
57356.31609,9.73,0.68,465799,316659,o,0,0,3.03038,-8.57264,4620.97,3167.57,4.13,3.81,-24.4,-0.4,19.05,20.68,02a57356o0143o
57356.32446,9.092,0.281,837817,235018,o,0,0,3.03099,-8.57177,4619.94,3171.26,4.2,3.86,-27,-0.39,18.97,20.54,02a57356o0156o
57356.33267,8.94,0.176,963939,169439,o,0,0,3.03159,-8.57092,4620.13,3172.68,4.09,3.76,-26.4,-0.403,18.88,20.34,02a57356o0169o
