MJD,m,dm,uJy,duJy,SNR,F,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
57304.37435,7.443,0.127,3827244,484489,7.89954777,c,7.43476,-9.76051,4835.77,9777.71,4.4,3.78,-68.2,-0.428,19.46,21.37,02a57304o0262c
57304.39883,7.21,0.053,4743762,252214,18.8084801,c,7.42904,-9.76228,4816.66,9787.77,4.37,3.74,-69.6,-0.426,19.47,21.4,02a57304o0296c
57308.36661,6,0.01,14450846,137714,104.93374675,c,6.56447,-10.02071,3163.25,10302.53,4.99,4.13,-61.9,-0.385,19.35,21.35,02a57308o0260c
57308.39458,6.784,0.015,7021913,107230,65.484593863,c,6.55828,-10.02233,3138.59,10314.46,4.87,4.06,-60.7,-0.385,19.4,21.4,02a57308o0302c
57308.39619,8.751,0.152,1147362,174942,6.558527969,c,6.55792,-10.02242,7474.54,10012.41,4.58,4.09,-78.9,-0.404,19.38,21.38,02a57308o0304c
57329.32007,7.063,0.067,5428389,361811,15.003382981,o,3.21197,-10.37637,4129.74,9334.78,4.37,3.36,-71.3,-0.49,18.81,20.46,02a57329o0194o
57329.34645,5.477,0.044,23407394,1018868,22.973922038,o,3.20916,-10.37575,4131.32,9336.61,4.44,3.48,-71.6,-0.503,18.93,20.77,02a57329o0235o
57333.32278,8.362,0.033,1641737,54860,29.925938753,c,2.87492,-10.25401,4775.64,9576.09,3.92,3.81,39,-0.391,19.37,21.14,02a57333o0212c
57333.34906,7.92,0.064,2465741,157548,15.650728666,c,2.87284,-10.25302,4775.83,9580.72,3.79,3.64,31,-0.405,19.38,21.12,02a57333o0250c
57351.34155,7.22,0.141,4698259,660132,7.117150812,o,2.70558,-9.0591,5240.83,2231.88,4.11,3.8,-11.3,-0.409,18.09,18.76,02a57351o0083o
57351.35065,8.276,0.28,1776734,497315,3.572653147,o,2.70597,-9.05826,5240.49,2234.07,4.16,3.91,-17.1,-0.402,17.66,18.28,02a57351o0097o
57354.30078,7.541,0.131,3495523,456715,7.653619872,o,2.88091,-8.77673,4910.12,2771.36,4.01,3.68,-24.1,-0.455,17.92,18.69,02a57354o0204o
57356.32446,9.092,0.281,837817,235018,3.564905666,o,3.03099,-8.57177,4619.94,3171.26,4.2,3.86,-27,-0.39,18.97,20.54,02a57356o0156o
57356.33267,8.94,0.176,963939,169439,5.689003122,o,3.03159,-8.57092,4620.13,3172.68,4.09,3.76,-26.4,-0.403,18.88,20.34,02a57356o0169o
57356.34092,8.41,0.044,1569871,68588,22.888420714,o,3.0322,-8.57006,4620.16,3175.23,4.08,3.74,-24.3,-0.403,18.83,20.24,02a57356o0182o
57357.3021,8.239,0.167,1837961,306299,6.000545218,o,3.11242,-8.46947,4759.72,3074.51,3.81,3.57,-29.2,-0.425,19.29,20.99,02a57357o0205o
57358.27981,7.671,0.084,3102383,261327,11.871651226,o,3.19948,-8.36501,4589.28,3275.15,4.17,3.94,-38.4,-0.443,19.11,20.87,02a57358o0181o
57358.29574,4.56,0.044,54436556,2377903,22.892673082,o,3.20083,-8.36329,4874.23,3861.42,3.9,3.69,-42.8,-0.451,19.14,20.8,02a57358o0207o
57358.31224,7.53,0.066,3531358,233147,15.14648698,o,3.20223,-8.3615,4013.93,2699.33,4.29,3.73,-26.1,-0.44,19.12,20.77,02a57358o0234o
57359.28748,6.875,0.02,6455005,129667,49.78140159,o,3.29472,-8.25526,4409.26,3488.95,3.97,3.74,-43.4,-0.441,19.06,20.73,02a57359o0056o
57359.30321,8.3,0.079,1738199,137372,12.653226276,o,3.29615,-8.25353,4693.51,4073.71,4.02,3.79,-58.9,-0.45,19.09,20.8,02a57359o0082o
57359.31957,8.074,0.221,2139127,473293,4.51966752,o,3.29763,-8.25172,3830.7,2911.99,4.28,3.79,-30.5,-0.441,19.11,20.78,02a57359o0109o
57359.33536,6.841,0.01,6663778,67688,98.4484399,o,3.29908,-8.24997,3536.96,4657.1,4.04,3.69,-53.2,-0.431,19.11,20.78,02a57359o0135o
57374.24215,9.189,0.158,766509,121472,6.310170244,c,5.35123,-6.40104,606.75,6837.17,3.95,2.89,37.2,-0.425,17.51,18.75,02a57374o0091c
57382.25945,9.671,0.172,491414,84400,5.822440758,o,6.89218,-5.26461,7203.45,9299.19,4.11,3.93,82.6,-0.418,18.31,19.39,02a57382o0039o
57382.27508,8.996,0.101,915324,92094,9.939018828,o,6.89536,-5.26231,7508.5,9893.78,3.81,3.76,62.7,-0.433,18.36,19.34,02a57382o0062o
57382.2922,8.77,0.08,1127233,89822,12.549631493,o,6.89884,-5.2598,6611.91,8721.92,4.06,3.8,-89.6,-0.44,18.24,19.27,02a57382o0087o
57399.24099,9.677,0.065,488984,32006,15.277885396,c,10.96271,-2.63024,6413.54,4687.6,3.9,3.8,-88.7,-0.474,19.33,21.16,02a57399o0085c
57422.24082,9.131,0.041,808681,33464,24.165700454,c,17.81988,1.22892,7428.05,2128.07,4.21,4.03,9.3,-0.456,19.08,20.77,02a57422o0079c
57445.27584,9.012,0.071,901761,64412,13.999891324,o,25.79344,5.1823,8291.86,681.24,4.79,3.84,13.1,-0.53,18.42,19.62,02a57445o0152o
